EAN number,price EUR
8712657009368,229.0
8712657015611,339.0
8712657013440,335.0
8712657009177,349.0
8712657006152,770.0
8712657056515,575.0
8712657061199,475.0
8712657016359,69.0
8712657060291,438.0
8712657013396,749.0
8712657009368,229.0
8712657015611,339.0
8712657013440,335.0
8712657009177,349.0
8712657006152,770.0
8712657056515,575.0
8712657061199,475.0
8712657016359,69.0
8712657060291,438.0
8712657013396,749.0
8712657008019,419.0
5712805023645,747.6
5712805023263,1352.22
5706459134215,996.55
5706459134567,1089.0
5706459087726,3183.45
5706459087085,1509.55
8720088950166,34.9
8719874460897,26.96
5707770010028,89.1
5707770601028,575.0
5707770601080,1099.0
5707770600991,499.0
5707770601073,1099.0
5707770601011,649.0
5707770600311,949.0
5707770039692,88.0
8713291770508,36.95
8713291885110,16.95
8713291885134,9.95
8713291885073,16.95
8713291444669,109.95
8713291885097,15.95
8713291445260,20.95
8713291444607,26.95
8713291444850,15.95
8713291770065,24.95
8713291885141,6.95
8713291445215,15.95
8713291445284,35.95
8713291885080,59.95
8713291445314,15.95
8713291885042,9.95
8713291770027,6.95
8720168533920,55.05
8720168532183,129.95
8717154586534,99.0
8713291887008,59.95
8713291444874,79.95
8713291770720,69.95
8713291449411,19.95
8713291887091,16.95
8713291444348,22.95
8713291444416,39.95
8713291445208,7.95
8713291770072,24.95
8713291885066,16.95
8713291887114,16.95
8713291770287,39.95
8713291770270,13.95
8713291887206,6.99
8713291447509,22.4
8713291444836,15.95
8713291444843,15.95
8713291770256,13.95
8713291444829,17.95
8713291885127,17.95
8713291770126,14.95
8713291444928,19.95
8713291770300,39.95
8713291886094,15.95
8713291887190,17.95
8713291770331,24.95
8713291885103,47.95
8713291444768,14.95
8713291886193,11.95
8713291770751,9.95
8713291770003,6.95
8713291443778,6.95
8720165221189,16.99
5704680056641,890.1
8719638753852,59.95
8714713112265,499.0
8714713059942,299.0
8714713066681,599.0
8714713112258,497.8
8714713112241,388.95
